[EXP] 0: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 1: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 2: [sr]: 1, [score]: 1.0, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 3: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 4: [sr]: 0, [score]: 0.75, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 5: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 6: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 7: [sr]: 0, [score]: 0.8, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 8: [sr]: 0, [score]: 0.4, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 9: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 10: [sr]: 1, [score]: 1.0, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 11: [sr]: 0, [score]: 0.5, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 12: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 13: [sr]: 0, [score]: 0.8333333333333334, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 14: [sr]: 0, [score]: 0.8, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 15: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 16: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 17: [sr]: 0, [score]: 0.4, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 18: [sr]: 0, [score]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 19: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 20: [sr]: 0, [score]: 0.1978021978021978, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 21: [sr]: 0, [score]: 0.967032967032967, [grounding_acc]: 0.75, [score_state]: [] 
[EXP] 22: [sr]: 0, [score]: 0.3877551020408163, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 23: [sr]: 0, [score]: 0.25274725274725274, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 24: [sr]: 0, [score]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 25: [sr]: 0, [score]: 0.22962962962962963, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 26: [sr]: 0, [score]: 0.2857142857142857, [grounding_acc]: 0.13333333333333333, [score_state]: [] 
[EXP] 27: [sr]: 0, [score]: 0.24675324675324675, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 28: [sr]: 0, [score]: 0.7604166666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 29: [sr]: 0, [score]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 30: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 31: [sr]: 0, [score]: 0.12605042016806722, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 32: [sr]: 0, [score]: 0.5769230769230769, [grounding_acc]: 0.6, [score_state]: [] 
[EXP] 33: [sr]: 0, [score]: 0.26153846153846155, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 34: [sr]: 0, [score]: 0.3472222222222222, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 35: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 36: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 37: [sr]: 0, [score]: 0.38095238095238093, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 38: [sr]: 0, [score]: 0.35714285714285715, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 39: [sr]: 0, [score]: 0.5714285714285714, [grounding_acc]: 1.0, [score_state]: [] 
