[EXP] 0: [success rate]: 0, [progress rate]: 0.2857142857142857, [grounding_acc]: 0.9666666666666667, [score_state]: [] 
[EXP] 1: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 2: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 3: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 4: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 5: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 6: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 7: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 8: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 9: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 10: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 11: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 12: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 13: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 14: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 15: [success rate]: 0, [progress rate]: 0.125, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 16: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 17: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 18: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 19: [success rate]: 0, [progress rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
