[EXP] 0: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 1: [success rate]: 0.0, [progress rate]: 0.125, [grounding_acc]: 0.3, [score_state]: [] 
[EXP] 2: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 3: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 4: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 5: [success rate]: 1.0, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 6: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 7: [success rate]: 0.0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 8: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.8, [score_state]: [] 
[EXP] 9: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 10: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 11: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.8888888888888888, [score_state]: [] 
[EXP] 12: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.5161290322580645, [score_state]: [] 
[EXP] 13: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 14: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 15: [success rate]: 0.0, [progress rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 16: [success rate]: 0.0, [progress rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
