[EXP] 0: [success rate]: 0, [progress rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 1: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 2: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 3: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 4: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 5: [success rate]: 0, [progress rate]: 0.5333333333333333, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 6: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 7: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 8: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 9: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 10: [success rate]: 0, [progress rate]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 11: [success rate]: 0, [progress rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 12: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 13: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 14: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 15: [success rate]: 0, [progress rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 16: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 17: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 18: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 19: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 20: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 21: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 22: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 23: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 24: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 25: [success rate]: 0, [progress rate]: 0.7999999999999999, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 26: [success rate]: 0, [progress rate]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 27: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 28: [success rate]: 0, [progress rate]: 0.39999999999999997, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 29: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 30: [success rate]: 0, [progress rate]: 0.39999999999999997, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 31: [success rate]: 0, [progress rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 32: [success rate]: 0, [progress rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 33: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 34: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 35: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 36: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 37: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 38: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 0.8888888888888888, [score_state]: [] 
[EXP] 39: [success rate]: 0, [progress rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 40: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 41: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 42: [success rate]: 0, [progress rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 43: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 44: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 45: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 46: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 47: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 48: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 49: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 50: [success rate]: 0, [progress rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 51: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 52: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 53: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 54: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 55: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 56: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 57: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 58: [success rate]: 0, [progress rate]: 0.4444444444444444, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 59: [success rate]: 0, [progress rate]: 0.16666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 60: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 61: [success rate]: 0, [progress rate]: 0.6666666666666666, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 62: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 63: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 64: [success rate]: 1, [progress rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 65: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 66: [success rate]: 0, [progress rate]: 0.1, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 67: [success rate]: 0, [progress rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 68: [success rate]: 0, [progress rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 69: [success rate]: 0, [progress rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
