[EXP] 0: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 1: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.7333333333333333, [score_state]: [] 
[EXP] 2: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.43333333333333335, [score_state]: [] 
[EXP] 3: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.5666666666666667, [score_state]: [] 
[EXP] 4: [sr]: 0, [score]: 0.5, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 5: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.43333333333333335, [score_state]: [] 
[EXP] 6: [sr]: 0, [score]: 0.5, [grounding_acc]: 0.7, [score_state]: [] 
[EXP] 7: [sr]: 0, [score]: 0.4, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 8: [sr]: 0, [score]: 0.2, [grounding_acc]: 0.36666666666666664, [score_state]: [] 
[EXP] 9: [sr]: 0, [score]: 0.25, [grounding_acc]: 0.4, [score_state]: [] 
[EXP] 10: [sr]: 0, [score]: 0.25, [grounding_acc]: 0.5333333333333333, [score_state]: [] 
[EXP] 11: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.8666666666666667, [score_state]: [] 
[EXP] 12: [sr]: 0, [score]: 0.16666666666666666, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 13: [sr]: 0, [score]: 0.16666666666666666, [grounding_acc]: 0.4666666666666667, [score_state]: [] 
[EXP] 14: [sr]: 0, [score]: 0.2, [grounding_acc]: 0.7, [score_state]: [] 
[EXP] 15: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.5333333333333333, [score_state]: [] 
[EXP] 16: [sr]: 0, [score]: 0.25, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 17: [sr]: 0, [score]: 0.1, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 18: [sr]: 0, [score]: 0.1, [grounding_acc]: 0.5666666666666667, [score_state]: [] 
[EXP] 19: [sr]: 0, [score]: 0.5, [grounding_acc]: 0.7666666666666667, [score_state]: [] 
[EXP] 20: [sr]: 0, [score]: 0.1978021978021978, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 21: [sr]: 0, [score]: 0.14285714285714285, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 22: [sr]: 0, [score]: 0.3877551020408163, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 23: [sr]: 0, [score]: 0.17582417582417584, [grounding_acc]: 0.8, [score_state]: [] 
[EXP] 24: [sr]: 0, [score]: 0.125, [grounding_acc]: 0.7666666666666667, [score_state]: [] 
[EXP] 25: [sr]: 0, [score]: 0.22962962962962963, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 26: [sr]: 0, [score]: 0.2857142857142857, [grounding_acc]: 0.8, [score_state]: [] 
[EXP] 27: [sr]: 0, [score]: 0.24675324675324675, [grounding_acc]: 0.6333333333333333, [score_state]: [] 
[EXP] 28: [sr]: 0, [score]: 0.2261904761904762, [grounding_acc]: 0.7666666666666667, [score_state]: [] 
[EXP] 29: [sr]: 0, [score]: 0.2, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 30: [sr]: 0, [score]: 0.15384615384615385, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 31: [sr]: 0, [score]: 0.1092436974789916, [grounding_acc]: 0.8, [score_state]: [] 
[EXP] 32: [sr]: 0, [score]: 0.19230769230769232, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 33: [sr]: 0, [score]: 0.18461538461538463, [grounding_acc]: 0.8666666666666667, [score_state]: [] 
[EXP] 34: [sr]: 0, [score]: 0.25, [grounding_acc]: 0.7666666666666667, [score_state]: [] 
[EXP] 35: [sr]: 0, [score]: 0.30158730158730157, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 36: [sr]: 0, [score]: 0.4222222222222222, [grounding_acc]: 0.4666666666666667, [score_state]: [] 
[EXP] 37: [sr]: 0, [score]: 0.38095238095238093, [grounding_acc]: 0.9666666666666667, [score_state]: [] 
[EXP] 38: [sr]: 0, [score]: 0.35714285714285715, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 39: [sr]: 0, [score]: 0.5714285714285714, [grounding_acc]: 0.9, [score_state]: [] 
