[EXP] 0: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 1: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 2: [sr]: 0, [score]: 0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 3: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 4: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 5: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 6: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 7: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 8: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.8666666666666667, [score_state]: [(4, 0.3333333333333333)] 
[EXP] 9: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 10: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(0, 0.3333333333333333), (20, 0.6666666666666666)] 
[EXP] 11: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 12: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 13: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 14: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 15: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 16: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 17: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 18: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 19: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 20: [sr]: 0, [score]: 0, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 21: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.3, [score_state]: [(2, 0.3333333333333333)] 
[EXP] 22: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.06666666666666667, [score_state]: [(2, 0.3333333333333333)] 
[EXP] 23: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 24: [sr]: 0, [score]: 0, [grounding_acc]: 0.17857142857142858, [score_state]: [] 
[EXP] 25: [sr]: 0, [score]: 0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 26: [sr]: 0, [score]: 0, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 27: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 0.4666666666666667, [score_state]: [(0, 0.3333333333333333)] 
[EXP] 28: [sr]: 0, [score]: 0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 29: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 30: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 31: [sr]: 0, [score]: 0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 32: [sr]: 0, [score]: 0, [grounding_acc]: 0.2857142857142857, [score_state]: [] 
[EXP] 33: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 34: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 35: [sr]: 0, [score]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 36: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 37: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 38: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 39: [sr]: 0, [score]: 0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 40: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 41: [sr]: 0, [score]: 0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 42: [sr]: 0, [score]: 0, [grounding_acc]: 0.42105263157894735, [score_state]: [] 
[EXP] 43: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 44: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 45: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(0, 0.3333333333333333), (1, 0.6666666666666666)] 
[EXP] 46: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 47: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 48: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 49: [sr]: 0, [score]: 0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 50: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 51: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 52: [sr]: 0, [score]: 0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 53: [sr]: 0, [score]: 0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 54: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.06666666666666667, [score_state]: [(0, 0.3333333333333333), (1, 0.6666666666666666)] 
[EXP] 55: [sr]: 0, [score]: 0, [grounding_acc]: 0.5333333333333333, [score_state]: [] 
[EXP] 56: [sr]: 0, [score]: 0, [grounding_acc]: 0.3, [score_state]: [] 
[EXP] 57: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 58: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 59: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 60: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 61: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 62: [sr]: 0, [score]: 0, [grounding_acc]: 0.26666666666666666, [score_state]: [] 
[EXP] 63: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 64: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 65: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 66: [sr]: 0, [score]: 0, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 67: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 68: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 69: [sr]: 0, [score]: 0, [grounding_acc]: 0.26666666666666666, [score_state]: [] 
[EXP] 70: [sr]: 0, [score]: 0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 71: [sr]: 0, [score]: 0, [grounding_acc]: 0.2, [score_state]: [] 
[EXP] 72: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 73: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(0, 0.3333333333333333), (1, 0.6666666666666666)] 
[EXP] 74: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 75: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 76: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 77: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 78: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 79: [sr]: 0, [score]: 0, [grounding_acc]: 0.36666666666666664, [score_state]: [] 
[EXP] 80: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 81: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 82: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 83: [sr]: 0, [score]: 0, [grounding_acc]: 0.6, [score_state]: [] 
[EXP] 84: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 85: [sr]: 0, [score]: 0, [grounding_acc]: 0.2857142857142857, [score_state]: [] 
[EXP] 86: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 87: [sr]: 0, [score]: 0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 88: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 89: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 90: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 91: [sr]: 0, [score]: 0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 92: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 93: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 94: [sr]: 0, [score]: 0, [grounding_acc]: 0.75, [score_state]: [] 
[EXP] 95: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 96: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 97: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 98: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 99: [sr]: 0, [score]: 0, [grounding_acc]: 0.0, [score_state]: [] 
