Models,alfworld_score,alfworld_accuracy,alfworld_grounding,scienceworld_score,scienceworld_accuracy,scienceworld_grounding,babyai_score,babyai_accuracy,babyai_grounding,embodied_score,embodied_accuracy,embodied_grounding,jericho_score,jericho_accuracy,jericho_grounding,pddl_score,pddl_accuracy,pddl_grounding,game_score,game_accuracy,game_grounding,webshop_score,webshop_accuracy,webshop_grounding,webarena_score,webarena_accuracy,webarena_grounding,web_score,web_accuracy,web_grounding,tool-qa_score,tool-qa_accuracy,tool-qa_grounding,tool-op_score,tool-op_accuracy,tool-op_grounding,tools_score,tools_accuracy,tools_grounding,all_score,all_accuracy,all_grounding
GPT4,0.655,0.433,82.6%,0.788,0.522,82.6%,0.707,0.563,82.6%,0.717,0.506,82.6%,0.524,0.350,100.0%,0.812,0.617,93.0%,0.668,0.484,96.5%,0.769,0.390,98.3%,0.394,0.151,97.6%,0.581,0.271,97.9%,0.852,0.683,97.5%,0.805,0.425,98.2%,0.829,0.554,97.9%,0.701,0.459,92.5%
Claude2,0.341,0.246,57.4%,0.320,0.111,11.2%,0.375,0.481,61.6%,0.345,0.279,43.4%,0.204,0.000,98.2%,0.614,0.400,71.2%,0.409,0.200,84.7%,0.746,0.378,95.9%,0.364,0.086,83.9%,0.555,0.232,89.9%,0.735,0.483,93.7%,0.596,0.275,92.3%,0.666,0.379,93.0%,0.477,0.273,73.9%
ChatGPT3.5,0.356,0.172,59.2%,0.319,0.118,18.7%,0.517,0.393,62.4%,0.397,0.228,46.8%,0.199,0.050,99.8%,0.250,0.050,66.0%,0.225,0.050,82.9%,0.764,0.351,90.2%,0.255,0.046,91.3%,0.510,0.198,90.7%,0.695,0.450,97.6%,0.263,0.150,83.1%,0.479,0.300,90.4%,0.402,0.198,74.3%
ChatGPT3.5-16k,0.252,0.045,57.4%,0.022,0.000,9.2%,0.451,0.339,73.3%,0.242,0.128,46.6%,0.161,0.000,100.0%,0.226,0.033,77.6%,0.194,0.017,88.8%,0.738,0.279,96.6%,0.237,0.061,81.3%,0.487,0.170,89.0%,0.591,0.317,97.9%,0.225,0.100,98.8%,0.408,0.209,98.4%,0.323,0.130,76.9%
text-davinci-003,0.188,0.090,27.30%,0.289,0.078,17.2%,0.175,0.143,15.9%,0.217,0.104,20.1%,0.286,0.100,97.9%,0.317,0.117,72.6%,0.302,0.109,85.3%,0.723,0.295,97.4%,0.162,0.025,23.7%,0.442,0.160,60.5%,0.650,0.383,95.2%,0.529,0.175,77.0%,0.590,0.279,86.1%,0.369,0.156,58.2%
lemur-70b-chat,0.108,0.007,8.9%,0.340,0.056,8.6%,0.194,0.098,37.4%,0.214,0.054,18.3%,0.101,0.000,99.5%,0.097,0.033,56.7%,0.099,0.017,78.1%,0.718,0.116,9.1%,0.058,0.000,79.2%,0.388,0.058,44.1%,0.720,0.283,87.0%,0.452,0.150,44.9%,0.586,0.217,66.0%,0.310,0.083,47.9%
codellama-34b,0.113,0.030,20.8%,0.035,0.000,3.0%,0.199,0.134,42.3%,0.116,0.055,22.0%,0.155,0.000,96.7%,0.185,0.033,30.6%,0.170,0.017,63.6%,0.717,0.235,59.3%,0.212,0.041,93.6%,0.465,0.138,76.5%,0.600,0.133,96.1%,0.504,0.025,80.4%,0.552,0.079,88.3%,0.302,0.070,58.1%
codellama-13b,0.134,0.022,15.8%,0.096,0.022,8.6%,0.170,0.222,34.6%,0.133,0.089,19.7%,0.000,0.000,99.7%,0.093,0.017,17.8%,0.047,0.009,58.8%,0.655,0.259,78.0%,0.177,0.037,82.1%,0.416,0.148,80.1%,0.466,0.250,90.5%,0.389,0.100,68.4%,0.428,0.175,79.5%,0.242,0.103,55.1%
llama2-70b,0.132,0.030,8.4%,0.026,0.000,9.0%,0.300,0.196,28.0%,0.153,0.075,15.1%,0.078,0.000,97.3%,0.081,0.017,43.6%,0.080,0.008,70.5%,0.536,0.131,98.3%,0.116,0.033,96.8%,0.356,0.084,97.5%,0.483,0.000,97.5%,0.412,0.000,82.3%,0.448,0.000,89.9%,0.241,0.045,62.4%
llama2-13b,0.089,0.078,17.2%,0.011,0.000,24.1%,0.181,0.062,74.5%,0.094,0.047,38.6%,0.032,0.000,100.0%,0.041,0.000,59.2%,0.037,0.000,79.6%,0.299,0.000,94.1%,0.079,0.020,58.7%,0.208,0.016,76.4%,0.368,0.000,97.9%,0.263,0.000,93.9%,0.316,0.000,95.9%,0.145,0.024,68.8%
vicuna-13b,0.110,0.014,15.7%,0.141,0.022,47.8%,0.143,0.054,44.6%,0.131,0.030,36.0%,0.152,0.000,97.7%,0.073,0.017,31.0%,0.113,0.009,64.3%,0.733,0.219,84.0%,0.113,0.029,19.1%,0.423,0.124,51.5%,0.343,0.033,96.50%,0.259,0.000,95.6%,0.301,0.017,96.1%,0.230,0.043,59.1%
