Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfworld,,Scienceworld,,Baybai,,Embodied,,Jericho,,pddl,,Game,,webshop,,webarena,,web,,Tool-qa,,Tool-operator,,tools,,Avg,
,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy
GPT-4,100.0%,100.0%,93.1%,85.3%,78.7%,69.8%,90.6%,85.0%,56.7%,50.0%,83.9%,58.3%,70.3%,64.1%,77.9%,41.8%,43.6%,22.7%,60.8%,36.0%,89.1%,80.3%,73.6%,52.8%,81.3%,68.9%,67.5%,51.7%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GPT-3.5-Turbo,40.3%,29.2%,50.0%,44.1%,56.0%,46.5%,48.8%,39.9%,25.8%,10.0%,37.0%,8.3%,31.4%,18.4%,77.2%,37.9%,22.3%,12.0%,49.7%,24.1%,79.4%,66.1%,21.3%,0.0%,50.3%,29.1%,45.5%,28.2%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Llama2-70b,2.8%,0.0%,3.4%,0.0%,34.5%,25.6%,13.6%,8.5%,13.3%,0.0%,13.6%,2.8%,13.4%,5.4%,55.9%,15.4%,20.9%,9.3%,38.4%,15.2%,49.2%,0.0%,38.8%,0.0%,44.0%,12.9%,25.8%,5.9%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Codellama-34b,11.1%,4.2%,6.4%,0.0%,23.8%,17.4%,13.8%,7.2%,0.0%,0.0%,28.6%,5.6%,14.3%,11.4%,72.8%,25.8%,23.8%,13.3%,48.3%,21.0%,71.3%,22.2%,50.0%,0.0%,60.7%,24.1%,32.0%,9.8%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Lemur-70b,8.3%,0.0%,47.1%,14.7%,22.7%,12.8%,26.0%,9.2%,4.3%,0.0%,16.1%,5.6%,10.2%,7.2%,72.7%,12.1%,7.4%,0.0%,40.1%,6.5%,77.0%,36.1%,45.6%,16.7%,61.3%,32.8%,33.5%,10.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfworld,,Scienceworld,,Baybai,,Embodied,,Jericho,,pddl,,Game,,webshop,,webarena,,web,,Tool-qa,,Tool-operator,,tools,,Avg,
,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4,58.0%,30.9%,70.0%,32.1%,44.1%,11.5%,57.4%,24.9%,48.2%,20.0%,77.1%,66.7%,62.6%,54.6%,72.8%,31.9%,37.5%,11.8%,55.1%,27.0%,83.4%,60.6%,63.2%,34.4%,73.3%,52.7%,61.6%,33.3%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GPT-3.5-Turbo,34.5%,14.5%,20.9%,3.6%,28.2%,7.7%,27.9%,8.6%,14.0%,0.0%,6.9%,0.0%,10.5%,2.3%,74.5%,27.5%,26.2%,1.2%,50.4%,18.3%,58.9%,22.8%,28.7%,4.5%,43.8%,18.7%,32.5%,9.1%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Llama2-70b,15.5%,3.6%,2.1%,0.0%,15.3%,0.0%,11.0%,1.2%,2.3%,0.0%,0.0%,0.0%,1.2%,0.0%,47.4%,7.2%,7.5%,0.6%,27.4%,5.1%,46.0%,0.0%,42.0%,0.0%,44.0%,14.0%,19.8%,1.3%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Codellama-34b,11.4%,2.7%,1.7%,0.0%,6.7%,0.0%,6.6%,0.9%,0.0%,0.0%,3.5%,0.0%,1.7%,1.2%,68.9%,17.4%,20.1%,0.0%,44.5%,12.5%,45.9%,3.0%,50.3%,4.5%,48.1%,19.3%,23.2%,3.1%
,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Lemur-70b,11.4%,0.9%,25.1%,0.0%,8.7%,0.0%,14.0%,0.0%,4.3%,0.0%,0.0%,0.0%,2.1%,0.0%,69.1%,10.1%,5.0%,0.0%,37.1%,5.1%,66.7%,15.8%,44.3%,13.6%,55.5%,24.6%,25.7%,4.4%
,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfworld,,Scienceworld,,Baybai,,Embodied,,Jericho,,pddl,,Game,,webshop,,webarena,,web,,Tool-qa,,Tool-operator,,tools,,Avg,
,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy
GPT-4,42.0%,69.1%,23.1%,53.2%,34.6%,58.3%,33.2%,60.2%,8.5%,30.0%,6.8%,-8.3%,7.6%,9.5%,5.2%,9.9%,6.1%,10.9%,5.6%,9.0%,5.7%,19.7%,10.4%,18.4%,8.1%,16.1%,5.9%,18.3%
