,AlfWorld,ScienceWorld,BabyAI,Embodied,Jericho,PDDL,Game,WebShop,WebArena,web,Tool-Query,Tool-Operation,tools,Avg
GPT-4,82.6%,82.6%,82.6%,82.6%,100.0%,93.0%,96.5%,98.3%,97.6%,97.9%,97.5%,98.5%,98.0%,92.5%
Claude2,57.4%,11.2%,61.6%,43.4%,98.2%,71.2%,84.7%,95.9%,83.9%,89.9%,93.7%,90.7%,92.2%,73.8%
GPT-3.5-Turbo,59.2%,18.7%,62.4%,46.8%,99.8%,66.0%,82.9%,90.2%,91.3%,90.7%,97.6%,91.8%,94.7%,75.2%
GPT-3.5-Turbo-16k,57.4%,9.2%,73.3%,46.6%,100.0%,77.6%,88.8%,96.6%,81.3%,89.0%,97.9%,92.20%,95.1%,76.2%
Text-Davinci-003,27.30%,17.2%,15.9%,20.1%,97.9%,72.6%,85.3%,97.4%,23.7%,60.5%,95.2%,82.5%,88.9%,85.7%
Llama2-13b,10.2%,4.1%,57.1%,23.8%,96.3%,31.9%,64.1%,68.2%,37.2%,52.7%,87.0%,74.1%,80.5%,51.8%
Llama2-70b,20.8%,3.0%,42.3%,22.0%,96.7%,30.6%,63.6%,59.3%,93.6%,76.5%,96.1%,80.4%,88.3%,58.1%
CodeLlama-13b,15.8%,8.6%,34.6%,19.7%,99.7%,17.8%,58.8%,78.0%,82.1%,80.1%,90.5%,79.24%,84.9%,56.3%
CodeLlama-34b,8.4%,9.0%,28.0%,15.1%,97.3%,43.6%,70.5%,98.3%,96.8%,97.5%,97.5%,82.8%,90.1%,62.4%
Vicuna-13b-16k,17.2%,24.1%,74.5%,38.6%,100.0%,59.2%,79.6%,94.1%,58.7%,76.4%,97.9%,92.3%,95.1%,68.7%
Lemur-70b,15.7%,47.8%,44.6%,36.0%,97.7%,31.0%,64.3%,84.0%,19.1%,51.5%,96.50%,90.0%,93.3%,58.5%
DeepSeek-67b,43.6%,12.6%,65.4%,40.5%,99.80%,62.7%,81.3%,95.4%,93.1%,94.3%,93.1%,80.5%,86.8%,71.8%
