[EXP] 0: [sr]: 0, [score]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(0, 0.25), (2, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 1: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 2: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (4, 0.75)] 
[EXP] 3: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 4: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.9166666666666666)] 
[EXP] 5: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.26666666666666666), (2, 0.5333333333333333), (4, 0.6666666666666666)] 
[EXP] 6: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 7: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 8: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (4, 0.8333333333333333)] 
[EXP] 9: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 10: [sr]: 0, [score]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.9333333333333333)] 
[EXP] 11: [sr]: 0, [score]: 0.7333333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.5333333333333333), (4, 0.7333333333333333)] 
[EXP] 12: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 13: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 14: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 15: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (3, 0.5), (4, 0.6666666666666666)] 
[EXP] 16: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 17: [sr]: 0, [score]: 0.5555555555555556, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 18: [sr]: 0, [score]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5833333333333333), (3, 0.8333333333333333)] 
[EXP] 19: [sr]: 0, [score]: 0.16666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666)] 
[EXP] 20: [sr]: 0, [score]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 21: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 22: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 23: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 24: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.3333333333333333), (4, 0.5)] 
[EXP] 25: [sr]: 0, [score]: 0.7999999999999999, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.7999999999999999)] 
[EXP] 26: [sr]: 0, [score]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9333333333333333)] 
[EXP] 27: [sr]: 0, [score]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [(2, 0.2222222222222222), (3, 0.4444444444444444), (5, 0.5555555555555556)] 
[EXP] 28: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 29: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 30: [sr]: 0, [score]: 0.39999999999999997, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.36666666666666664), (3, 0.39999999999999997)] 
[EXP] 31: [sr]: 0, [score]: 0.7499999999999999, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (4, 0.7499999999999999)] 
[EXP] 32: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.3333333333333333), (4, 0.5)] 
[EXP] 33: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 34: [sr]: 0, [score]: 0.15, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (2, 0.11666666666666667), (3, 0.15)] 
[EXP] 35: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 36: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 37: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 38: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (3, 0.75)] 
[EXP] 39: [sr]: 0, [score]: 0.2222222222222222, [grounding_acc]: 0.3333333333333333, [score_state]: [(1, 0.2222222222222222)] 
[EXP] 40: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 41: [sr]: 0, [score]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.25), (3, 0.3333333333333333)] 
[EXP] 42: [sr]: 0, [score]: 0.26666666666666666, [grounding_acc]: 1.0, [score_state]: [(2, 0.26666666666666666)] 
[EXP] 43: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 44: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 45: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 46: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 47: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 48: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 49: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 50: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 51: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 52: [sr]: 1, [score]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 53: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 54: [sr]: 0, [score]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 55: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.26666666666666666), (2, 0.37777777777777777), (4, 0.6666666666666666)] 
[EXP] 56: [sr]: 0, [score]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 57: [sr]: 0, [score]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 58: [sr]: 0, [score]: 0.6, [grounding_acc]: 0.8333333333333334, [score_state]: [(2, 0.26666666666666666), (3, 0.4888888888888889), (5, 0.6)] 
[EXP] 59: [sr]: 0, [score]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 60: [sr]: 0, [score]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (4, 0.75)] 
