Models,Alfworld,,Scienceworld,,Babyai,,Embodied,,Jericho,,pddl,,Game,,webshop,,webarena,,web,,Tool-Query,,Tool-Operation,,tools,,Avg,
,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy,score,accuracy
GPT-4,0.655,0.433,0.788,0.522,0.707,0.563,0.717,0.506,0.524,0.350,0.812,0.617,0.668,0.484,0.769,0.390,0.394,0.151,0.581,0.271,0.852,0.683,0.805,0.425,0.829,0.554,0.701,0.459
Claude2,0.341,0.246,0.320,0.111,0.375,0.481,0.345,0.279,0.204,0.000,0.614,0.400,0.409,0.200,0.746,0.378,0.364,0.086,0.555,0.232,0.735,0.483,0.596,0.275,0.666,0.379,0.477,0.273
GPT-3.5-Turbo,0.356,0.172,0.319,0.118,0.517,0.393,0.397,0.228,0.199,0.050,0.250,0.050,0.225,0.050,0.764,0.351,0.255,0.046,0.510,0.198,0.695,0.450,0.263,0.150,0.479,0.300,0.402,0.198
GPT-3.5-Turbo-16k,0.252,0.045,0.022,0.000,0.451,0.339,0.242,0.128,0.161,0.000,0.226,0.033,0.194,0.017,0.738,0.279,0.237,0.061,0.487,0.170,0.591,0.317,0.225,0.100,0.408,0.209,0.323,0.130
Text-Davinci-003,0.188,0.090,0.289,0.078,0.175,0.143,0.217,0.104,0.286,0.100,0.317,0.117,0.302,0.109,0.723,0.295,0.162,0.025,0.442,0.160,0.650,0.383,0.529,0.175,0.590,0.279,0.369,0.156
Llama2-13b,0.089,0.078,0.011,0.000,0.181,0.062,0.094,0.047,0.032,0.000,0.041,0.000,0.037,0.000,0.299,0.000,0.079,0.020,0.208,0.016,0.368,0.000,0.263,0.000,0.316,0.000,0.145,0.024
Llama2-70b,0.132,0.030,0.026,0.000,0.300,0.196,0.153,0.075,0.078,0.000,0.081,0.017,0.080,0.008,0.536,0.131,0.116,0.033,0.356,0.084,0.483,0.000,0.412,0.000,0.448,0.000,0.241,0.045
Codellama-13b,0.134,0.022,0.096,0.022,0.170,0.222,0.133,0.089,0.000,0.000,0.093,0.017,0.047,0.009,0.655,0.259,0.177,0.037,0.416,0.148,0.466,0.250,0.389,0.100,0.428,0.175,0.242,0.103
Codellama-34b,0.113,0.030,0.035,0.000,0.199,0.134,0.116,0.055,0.155,0.000,0.185,0.033,0.170,0.017,0.717,0.235,0.212,0.041,0.465,0.138,0.600,0.133,0.504,0.025,0.552,0.079,0.302,0.070
Vicuna-13b-16k,0.110,0.014,0.141,0.022,0.143,0.054,0.131,0.030,0.152,0.000,0.073,0.017,0.113,0.009,0.733,0.219,0.113,0.029,0.423,0.124,0.343,0.033,0.259,0.000,0.301,0.017,0.230,0.043
Lemur-70b,0.108,0.007,0.340,0.056,0.194,0.098,0.214,0.054,0.101,0.000,0.097,0.033,0.099,0.017,0.718,0.116,0.058,0.000,0.388,0.058,0.720,0.283,0.452,0.150,0.586,0.217,0.310,0.083
